Format Version,1.23,Take Name,5-6-SID-roll2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-05-06 08.30.54.933 AM,Capture Start Frame,172841,Total Frames in Take,51877,Total Exported Frames,51877,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone
,ID,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
86,0.717000,-0.290145,0.205577,0.034825,-0.033536,0.232971,0.724012
87,0.725000,-0.297076,0.207669,0.031270,-0.033526,0.232979,0.724008
88,0.733000,-0.309616,0.208427,0.025522,-0.033527,0.232983,0.723998
89,0.742000,-0.308861,0.201046,0.017933,-0.033527,0.232988,0.724001
90,0.750000,-0.313474,0.206691,0.021804,-0.033529,0.232990,0.723995
91,0.758000,-0.309295,0.200385,0.026273,-0.033530,0.232990,0.723999
92,0.767000,-0.311517,0.201881,0.027288,-0.033527,0.232988,0.724001
93,0.775000,-0.307724,0.203174,0.017890,-0.033528,0.232987,0.723996
94,0.783000,-0.292382,0.209264,0.032626,-0.033533,0.232971,0.724006
95,0.792000,-0.302599,0.212263,0.025542,-0.033527,0.232989,0.724000
96,0.800000,-0.305881,0.201167,0.023597,-0.033523,0.232989,0.723996
97,0.808000,-0.312320,0.200075,0.016644,-0.033530,0.232993,0.723991
98,0.817000,-0.312389,0.206263,0.016434,-0.033525,0.232989,0.723995
99,0.825000,-0.307407,0.202924,0.016257,-0.033527,0.232987,0.724000
100,0.833000,-0.305272,0.206678,0.013882,-0.033530,0.232986,0.724000
101,0.842000,-0.310703,0.205187,0.018389,-0.033531,0.232990,0.724000
102,0.850000,-0.313174,0.202620,0.018601,-0.033528,0.232987,0.723999
103,0.858000,-0.309732,0.203948,0.015473,-0.033523,0.232987,0.723998
104,0.867000,-0.307652,0.202099,0.020530,-0.033530,0.232987,0.723998
105,0.875000,-0.307809,0.203094,0.017610,-0.033531,0.232987,0.723998
106,0.883000,-0.315509,0.202550,0.023053,-0.033527,0.232989,0.723997
107,0.892000,-0.309088,0.204214,0.020380,-0.033529,0.232988,0.724001
108,0.900000,-0.304804,0.204643,0.018805,-0.033529,0.232988,0.724001
109,0.908000,-0.308776,0.205201,0.017790,-0.033529,0.232985,0.723997
110,0.917000,-0.292883,0.203954,0.033160,-0.033527,0.232975,0.724009
111,0.925000,-0.301370,0.207209,0.024116,-0.033523,0.232981,0.724006
112,0.933000,-0.312270,0.197730,0.015852,-0.033531,0.232989,0.723998
113,0.942000,-0.292629,0.203053,0.033335,-0.033529,0.232979,0.724013
114,0.950000,-0.300339,0.206523,0.023999,-0.033524,0.232979,0.724004
115,0.958000,-0.290410,0.208576,0.032345,-0.033531,0.232972,0.724016
116,0.967000,-0.300992,0.210434,0.027018,-0.033525,0.232979,0.724003
117,0.975000,-0.303445,0.202530,0.015008,-0.033529,0.232986,0.724004
118,0.983000,-0.302481,0.206532,0.022532,-0.033526,0.232987,0.724000
119,0.992000,-0.313192,0.205397,0.019592,-0.033527,0.232987,0.723999
120,1.000000,-0.313179,0.199233,0.023544,-0.033525,0.232991,0.724001
121,1.008000,-0.311458,0.197286,0.021029,-0.033530,0.232987,0.723996
122,1.017000,-0.313155,0.200466,0.017662,-0.033526,0.232988,0.723998
123,1.025000,-0.306936,0.207507,0.016389,-0.033530,0.232990,0.723995
124,1.033000,-0.290273,0.205018,0.033271,-0.033531,0.232973,0.724009
125,1.042000,-0.286324,0.211203,0.036595,-0.033535,0.232972,0.724011
126,1.050000,-0.302885,0.205567,0.017582,-0.033530,0.232983,0.724000
127,1.058000,-0.314103,0.203352,0.015870,-0.033529,0.232988,0.723999
128,1.067000,-0.310738,0.201284,0.007664,-0.033532,0.232987,0.723995
129,1.075000,-0.305419,0.203136,0.021233,-0.033523,0.232987,0.724001
130,1.083000,-0.309638,0.197932,0.012298,-0.033527,0.232987,0.723996
131,1.092000,-0.308888,0.208171,0.023638,-0.033525,0.232986,0.723998
132,1.100000,-0.309933,0.200900,0.015776,-0.033530,0.232987,0.723995
133,1.108000,-0.305758,0.202244,0.014498,-0.033529,0.232987,0.723996
134,1.117000,-0.289161,0.200988,0.031440,-0.033533,0.232967,0.724011
135,1.125000,-0.285204,0.213148,0.038038,-0.033532,0.232970,0.724013
136,1.133000,-0.302273,0.213606,0.028740,-0.033530,0.232983,0.724000
137,1.142000,-0.313538,0.196717,0.010845,-0.033531,0.232987,0.723995
138,1.150000,-0.315140,0.199581,0.015303,-0.033529,0.232993,0.723993
139,1.158000,-0.295201,0.209877,0.035962,-0.033534,0.232973,0.724007
140,1.167000,-0.292920,0.211349,0.020527,-0.033525,0.232975,0.724006
