Format Version,1.23,Take Name,Drone-Take1-Mar12,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2025-03-12 04.10.17.929 PM,Capture Start Frame,534588,Total Frames in Take,45018,Total Exported Frames,45018,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Optic Flow Drone,Optic Flow Drone,Optic Flow Drone,Optic Flow Drone,Optic Flow Drone,Optic Flow Drone
,ID,11CA5A58FF8E11EFE509D45A5468D7BA,11CA5A58FF8E11EFE509D45A5468D7BA,11CA5A58FF8E11EFE509D45A5468D7BA,11CA5A58FF8E11EFE509D45A5468D7BA,11CA5A58FF8E11EFE509D45A5468D7BA,11CA5A58FF8E11EFE509D45A5468D7BA
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
130,0.542000,5.690781,3.645887,-2.009939,-0.181811,0.746385,1.370150
131,0.546000,5.758935,3.608111,-2.012824,-0.181938,0.746402,1.370084
132,0.550000,5.828609,3.574696,-2.031363,-0.182094,0.746429,1.370032
133,0.554000,5.892550,3.529894,-2.039502,-0.182217,0.746440,1.369987
134,0.558000,5.928636,3.493535,-2.062441,-0.182364,0.746487,1.369990
135,0.563000,5.995764,3.462573,-2.071280,-0.182495,0.746525,1.369971
136,0.567000,6.062040,3.428778,-2.075811,-0.182605,0.746546,1.369951
137,0.571000,6.127999,3.398090,-2.085892,-0.182726,0.746584,1.369948
138,0.575000,6.188464,3.369084,-2.102914,-0.182840,0.746630,1.369946
139,0.579000,6.240563,3.352603,-2.125315,-0.182933,0.746668,1.369945
140,0.583000,6.319447,3.335721,-2.118808,-0.183017,0.746704,1.369964
141,0.588000,6.367846,3.312118,-2.134247,-0.183123,0.746749,1.369961
142,0.592000,6.426377,3.279542,-2.154696,-0.183230,0.746788,1.369988
143,0.596000,6.472857,3.255782,-2.169702,-0.183347,0.746840,1.370032
144,0.600000,6.529690,3.230633,-2.182220,-0.183456,0.746868,1.370056
145,0.604000,6.583292,3.197505,-2.203227,-0.183558,0.746923,1.370106
146,0.608000,6.635672,3.165341,-2.216064,-0.183644,0.746968,1.370159
147,0.613000,6.697185,3.144783,-2.234887,-0.183759,0.747013,1.370228
148,0.617000,6.758831,3.107507,-2.248523,-0.183859,0.747063,1.370312
149,0.621000,6.814991,3.082001,-2.268906,-0.183966,0.747133,1.370374
150,0.625000,6.871645,3.058032,-2.286658,-0.184067,0.747190,1.370454
151,0.629000,6.930761,3.032189,-2.298097,-0.184169,0.747236,1.370541
152,0.633000,6.989824,3.001195,-2.319880,-0.184277,0.747292,1.370617
153,0.638000,7.062022,2.975297,-2.324027,-0.184380,0.747333,1.370705
154,0.642000,7.103836,2.949555,-2.347245,-0.184495,0.747396,1.370785
155,0.646000,7.160988,2.921793,-2.362851,-0.184596,0.747445,1.370863
156,0.650000,7.211748,2.901133,-2.373887,-0.184704,0.747496,1.370943
157,0.654000,7.270143,2.868427,-2.387509,-0.184826,0.747536,1.371032
158,0.658000,7.322964,2.821034,-2.420505,-0.184970,0.747579,1.371138
159,0.663000,7.375387,2.803903,-2.428724,-0.185104,0.747644,1.371224
160,0.667000,7.426326,2.762051,-2.447942,-0.185198,0.747724,1.371302
161,0.671000,7.484019,2.732635,-2.464138,-0.185312,0.747775,1.371430
162,0.675000,7.535236,2.714033,-2.466631,-0.185404,0.747809,1.371536
163,0.679000,7.586619,2.691022,-2.468045,-0.185531,0.747859,1.371637
164,0.683000,7.644979,2.670689,-2.482392,-0.185618,0.747890,1.371761
165,0.688000,7.696676,2.654511,-2.491914,-0.185703,0.747930,1.371867
166,0.692000,7.754986,2.640122,-2.508007,-0.185798,0.747968,1.371992
167,0.696000,7.799676,2.624954,-2.522439,-0.185889,0.747988,1.372105
168,0.700000,7.838367,2.615566,-2.527241,-0.185976,0.748036,1.372205
169,0.704000,7.894141,2.607426,-2.541321,-0.186047,0.748066,1.372331
170,0.708000,7.937263,2.602642,-2.548105,-0.186131,0.748112,1.372426
171,0.713000,7.985711,2.596500,-2.564466,-0.186199,0.748142,1.372542
172,0.717000,8.027382,2.577208,-2.580497,-0.186238,0.748170,1.372639
173,0.721000,8.074748,2.569219,-2.594359,-0.186306,0.748193,1.372767
174,0.725000,8.111156,2.568374,-2.601264,-0.186394,0.748219,1.372871
175,0.729000,8.146458,2.563503,-2.620576,-0.186455,0.748253,1.372954
176,0.733000,8.171684,2.554775,-2.637902,-0.186543,0.748301,1.373039
177,0.738000,8.204838,2.548959,-2.637711,-0.186644,0.748318,1.373126
