Format Version,1.23,Take Name,5-6-SID-pitch1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-05-06 08.42.57.977 AM,Capture Start Frame,259605,Total Frames in Take,44511,Total Exported Frames,44511,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone
,ID,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
100,0.833000,-0.201789,0.468868,-1.872235,-0.037775,0.235133,0.723933
101,0.842000,-0.243670,0.468233,-1.910617,-0.037767,0.235158,0.723917
102,0.850000,-0.233551,0.443670,-1.903152,-0.037779,0.235155,0.723923
103,0.858000,-0.233986,0.445145,-1.900692,-0.037781,0.235158,0.723924
104,0.867000,-0.240758,0.445591,-1.902540,-0.037781,0.235157,0.723921
105,0.875000,-0.244729,0.448463,-1.909183,-0.037783,0.235164,0.723915
106,0.883000,-0.199030,0.463169,-1.875406,-0.037776,0.235128,0.723938
107,0.892000,-0.247601,0.463252,-1.906929,-0.037769,0.235160,0.723919
108,0.900000,-0.194701,0.467801,-1.879797,-0.037776,0.235130,0.723938
109,0.908000,-0.243758,0.466231,-1.900999,-0.037776,0.235162,0.723913
110,0.917000,-0.239371,0.444017,-1.899016,-0.037781,0.235162,0.723923
111,0.925000,-0.232918,0.443440,-1.906659,-0.037776,0.235156,0.723925
112,0.933000,-0.241245,0.445622,-1.902388,-0.037777,0.235158,0.723921
113,0.942000,-0.241350,0.448766,-1.896724,-0.037782,0.235163,0.723918
114,0.950000,-0.238587,0.444398,-1.901281,-0.037777,0.235161,0.723919
115,0.958000,-0.239937,0.451258,-1.907909,-0.037774,0.235156,0.723921
116,0.967000,-0.240443,0.453270,-1.908701,-0.037780,0.235162,0.723917
117,0.975000,-0.201645,0.470330,-1.880126,-0.037773,0.235130,0.723930
118,0.983000,-0.246117,0.464034,-1.904988,-0.037765,0.235156,0.723913
119,0.992000,-0.240646,0.446015,-1.902190,-0.037779,0.235158,0.723921
120,1.000000,-0.234443,0.441163,-1.897170,-0.037786,0.235154,0.723925
121,1.008000,-0.235778,0.448607,-1.907180,-0.037779,0.235152,0.723925
122,1.017000,-0.237962,0.446754,-1.908124,-0.037782,0.235159,0.723921
123,1.025000,-0.241454,0.447877,-1.897956,-0.037776,0.235166,0.723917
124,1.033000,-0.238879,0.447995,-1.900914,-0.037778,0.235163,0.723918
125,1.042000,-0.238464,0.445033,-1.900067,-0.037783,0.235158,0.723919
126,1.050000,-0.237117,0.453103,-1.908853,-0.037778,0.235158,0.723920
127,1.058000,-0.241762,0.453136,-1.906427,-0.037782,0.235161,0.723926
128,1.067000,-0.240110,0.447974,-1.908953,-0.037777,0.235159,0.723923
129,1.075000,-0.237733,0.443924,-1.909324,-0.037780,0.235159,0.723923
130,1.083000,-0.234414,0.447504,-1.902156,-0.037777,0.235159,0.723918
131,1.092000,-0.234643,0.448695,-1.909169,-0.037771,0.235157,0.723922
132,1.100000,-0.241074,0.444493,-1.908615,-0.037780,0.235158,0.723919
133,1.108000,-0.240590,0.446996,-1.905586,-0.037782,0.235156,0.723918
134,1.117000,-0.230928,0.443101,-1.910316,-0.037778,0.235156,0.723922
135,1.125000,-0.234993,0.449276,-1.900104,-0.037772,0.235158,0.723918
136,1.133000,-0.237901,0.447989,-1.911543,-0.037770,0.235158,0.723922
137,1.142000,-0.243135,0.448769,-1.908535,-0.037779,0.235159,0.723927
138,1.150000,-0.244395,0.450100,-1.909082,-0.037777,0.235160,0.723917
139,1.158000,-0.236409,0.447963,-1.911448,-0.037771,0.235154,0.723925
140,1.167000,-0.234579,0.448982,-1.908663,-0.037775,0.235161,0.723922
141,1.175000,-0.235758,0.448870,-1.906142,-0.037779,0.235162,0.723920
142,1.183000,-0.233886,0.451067,-1.911098,-0.037771,0.235154,0.723919
143,1.192000,-0.238950,0.456374,-1.908724,-0.037771,0.235153,0.723921
144,1.200000,-0.235697,0.449181,-1.909273,-0.037774,0.235158,0.723928
145,1.208000,-0.239698,0.447443,-1.907319,-0.037778,0.235156,0.723922
146,1.217000,-0.233952,0.444582,-1.909144,-0.037778,0.235155,0.723924
147,1.225000,-0.238284,0.446917,-1.905107,-0.037777,0.235158,0.723925
148,1.233000,-0.240800,0.444487,-1.903831,-0.037782,0.235156,0.723918
149,1.242000,-0.241364,0.441127,-1.908205,-0.037775,0.235158,0.723926
150,1.250000,-0.231774,0.442024,-1.906668,-0.037779,0.235155,0.723925
151,1.258000,-0.236910,0.445699,-1.902175,-0.037781,0.235154,0.723921
152,1.267000,-0.237845,0.449206,-1.901469,-0.037786,0.235162,0.723921
